ID,lat,lon,Station,state or country,country,Years,Range,
GSB,35.34,-77.97,Goldsboro, North Carolina , United States ,59.9,1944-1946 1957-1970 1973-2000 2007-2020 ,
OKC,35.39,-97.6,Oklahoma City, Oklahoma , United States ,73.2,1942-2008 2014-2020 ,
BFL,35.43,-119.05,Bakersfield, California , United States ,86.4,1931-1940 1942-1945 1947-2020 ,
AVL,35.43,-82.54,Asheville, North Carolina , United States ,64.8,1948-1956 1965-2020 ,
PRB,35.67,-120.63,Paso Robles, California , United States ,42.9,1978-2020 ,
TYS,35.82,-83.99,Knoxville, Tennessee , United States ,72.9,1948-2020 ,
RDU,35.89,-78.78,Raleigh, North Carolina , United States ,75,1946-2020 ,
FYV,36.01,-94.17,Fayetteville, Arkansas , United States ,53.1,1950-1954 1967 1973-1981 1983-2020 ,
DHT,36.02,-102.55,Dalhart, Texas , United States ,49.6,1943-1945 1949-1954 1973-1981 1989-2020 ,
LAS,36.07,-115.16,Las Vegas, Nevada , United States ,68.3,1949-2020 ,
GSO,36.1,-79.94,Greensboro, North Carolina , United States ,75.1,1946-2020 ,
BNA,36.12,-86.69,Nashville, Tennessee , United States ,83.2,1937-2020 ,
TUL,36.2,-95.89,Tulsa, Oklahoma , United States ,73.9,1947-2020 ,
GAG,36.3,-99.77,Gage, Oklahoma , United States ,59.8,1944 1947-1964 1973-1981 1987-2020 ,
END,36.33,-97.92,Enid, Oklahoma , United States ,56,1942-1946 1949-1960 1974-2000 2007-2020 ,
TRI,36.48,-82.4,Tri-Cities, Tennessee , United States ,66.7,1948-1953 1960-2020 ,
HOP,36.67,-87.48,Fort Campbell, Kentucky , United States ,70.3,1944-1945 1950-1970 1973-2020 ,
FMN,36.74,-108.23,Farmington, New Mexico , United States ,46,1953-1977 1998-2020 ,
PNC,36.74,-97.1,Ponca City, Oklahoma , United States ,48.8,1947-1954 1973-1981 1989-2020 ,
FAT,36.78,-119.72,Fresno, California , United States ,57.1,1953-1956 1968-2020 ,
ORF,36.9,-76.19,Norfolk, Virginia , United States ,72.9,1948-2020 ,
BWG,36.97,-86.42,Bowling Green, Kentucky , United States ,52.9,1948-1954 1973-1994 1996-2020 ,
PAH,37.06,-88.77,Paducah, Kentucky , United States ,62.4,1950-1964 1973-2020 ,
LFI,37.08,-76.36,Hampton, Virginia , United States ,69.8,1937 1949-2020 ,
JLN,37.15,-94.5,Joplin, Missouri , United States ,54.5,1948-1954 1973-2020 ,
SGF,37.24,-93.39,Springfield, Missouri , United States ,72.7,1948-2020 ,
ROA,37.32,-79.97,Roanoke, Virginia , United States ,72.8,1948-2020 ,
SJC,37.36,-121.92,San Jose, California , United States ,31.5,1973-1981 1998-2020 ,
RIC,37.51,-77.32,Richmond, Virginia , United States ,76.2,1943-1945 1948-2020 ,
SFO,37.62,-122.37,San Francisco, California , United States ,72.9,1948-2020 ,
ICT,37.65,-97.43,Wichita, Kansas , United States ,66.6,1954-2020 ,
CDC,37.71,-113.09,Cedar City, Utah , United States ,71.8,1949-2020 ,
OAK,37.72,-122.22,Oakland, California , United States ,72.3,1948-2020 ,
DDC,37.77,-99.97,Dodge City, Kansas , United States ,74.9,1943-1945 1948-2020 ,
BKW,37.78,-81.12,Beckley, West Virginia , United States ,56.9,1963-2020 ,
FTK,37.9,-85.97,Fort Knox, Kentucky , United States ,66.2,1945-1970 1975-1978 1983-2001 2004-2020 ,
GCK,37.93,-100.73,Garden City, Kansas , United States ,54.8,1944 1948-1954 1973-2020 ,
EVV,38.04,-87.52,Evansville , Indiana , United States ,72.7,1948-2020 ,
LEX,38.04,-84.61,Lexington, Kentucky , United States ,72.7,1948-2020 ,
